"trial","ref_position","var_area","response","correct","rt"
1,"L",11.5545491401572,"R",TRUE,8.65100002288818
2,"L",14.8784482451156,"R",TRUE,5.34899997711182
3,"L",14.5164892477915,"R",TRUE,2.50699996948242
4,"R",11.1533849907573,"L",TRUE,4.55299997329712
5,"R",10.109673560597,"L",TRUE,1.84999990463257
6,"L",10.4576331113931,"R",TRUE,2.30599999427795
7,"R",11.5846578525379,"R",FALSE,2.95100021362305
8,"L",8.80127560161054,"L",TRUE,2.17799997329712
9,"L",8.72653732821345,"R",FALSE,2.92899990081787
10,"L",14.8214524844661,"R",TRUE,2.83100008964539
11,"L",8.45539736305363,"L",TRUE,3.89800000190735
12,"R",10.746355235111,"R",FALSE,2.66499996185303
13,"R",12.1418788970914,"L",TRUE,3.35800004005432
14,"L",9.03670344455168,"L",FALSE,2.28500008583069
15,"R",11.7035359798465,"R",FALSE,2.29200005531311
16,"R",8.17266452079639,"R",TRUE,3.24399995803833
17,"L",12.5960189951584,"R",TRUE,2.42400002479553
18,"L",9.18904626299627,"R",TRUE,2.60699987411499
19,"L",14.8444154234603,"R",TRUE,1.77699995040894
20,"L",10.8503371104598,"R",TRUE,3.84000015258789
