"trial","ref_position","var_area","response","correct","rt"
1,"R",11.6150995246135,"L",TRUE,1.17700004577637
2,"L",13.5452755279839,"R",TRUE,0.963000059127808
3,"L",14.0781619360205,"R",TRUE,0.877000093460083
4,"L",13.5824506597128,"R",TRUE,1.18400001525879
5,"L",9.14431054890156,"L",FALSE,1.27600002288818
6,"L",11.5529262996279,"R",TRUE,0.874000072479248
7,"R",12.4642459938768,"L",TRUE,1.15900015830994
8,"L",12.8040801321622,"R",TRUE,0.875
9,"L",10.8150086319074,"R",TRUE,0.976999998092651
10,"L",13.3581638147589,"R",TRUE,0.878000020980835
11,"R",13.7458801625762,"L",TRUE,0.972000122070312
12,"L",13.606701155426,"R",TRUE,0.875999927520752
13,"R",14.7001179414801,"L",TRUE,1.26099991798401
14,"R",8.29020093753934,"R",TRUE,1.49399995803833
15,"L",10.5711782835424,"R",TRUE,1.27300000190735
16,"L",12.1298450345639,"R",TRUE,0.776999950408936
17,"R",8.58164951927029,"R",TRUE,1.37700009346008
18,"L",14.933532997733,"R",TRUE,0.775000095367432
19,"L",13.6630465043709,"R",TRUE,0.878999948501587
20,"R",10.1880300384946,"L",TRUE,0.977999925613403
21,"R",13.6839541266672,"L",TRUE,0.780999898910522
22,"R",11.9774260695558,"L",TRUE,0.871999979019165
